,GSE259348_DMED
EMB,5
RP11-269M20.3,0
PARP8,227
RP11-317O24.1,0
RP11-317O24.2,0
CTD-2089N3.1,3
CTD-2089N3.2,29
CTD-2089N3.3,1
CTD-2314G24.2,46
ISL1,351
CTD-2335O3.3,1
CTD-2203A3.1,0
CTD-2288O8.1,11
ITGA1,828
PELO,113
CTD-2175A23.1,15
ITGA2,55
CTD-2366F13.2,1
MOCS2,308
CTD-2366F13.1,6
FST,326
NDUFS4,887
CTD-2081C10.1,0
CTD-2081C10.7,0
ARL15,413
LINC01033,5
HSPB3,6
SNX18,299
RP11-45H22.3,0
ESM1,0
GZMK,2
CTD-2313F11.2,0
CTD-2313F11.3,0
GZMA,3
CDC20B,3
GPX8,114
MCIDAS,0
CCNO,0
RP11-506H20.1,30
DHX29,315
SKIV2L2,334
PLPP1,1456
SLC38A9,136
DDX4,0
IL31RA,0
AC008914.1,0
IL6ST,1202
CTD-2031P19.5,3
FLJ31104,5
CTD-2227I18.1,2
ANKRD55,0
RP11-155L15.1,1
CTC-236F12.4,1
C5orf67,0
AC008940.1,0
MAP3K1,86
AC008937.2,1
AC008937.3,3
SETD9,59
MIER3,101
CTD-2310F14.1,3
AC016644.1,18
GPBP1,744
CTD-2023N9.1,11
ACTBL2,0
CTD-2023N9.2,0
CTD-2023N9.3,0
RP11-772C9.1,0
RP11-478P10.1,0
CTD-2037L6.2,0
PLK2,259
GAPT,0
CTD-2117L12.1,0
RAB3C,2
RP11-479O16.1,0
CTD-2176I21.2,0
PDE4D,1329
RP11-266N13.2,3
CTD-2254N19.1,0
AC109486.1,0
PART1,31
DEPDC1B,19
ELOVL7,5
RP11-231G3.1,0
ERCC8,123
AC104113.3,0
NDUFAF2,695
SMIM15,162
CTC-436P18.1,11
CTC-436P18.3,0
ZSWIM6,1834
RP11-2O17.2,0
CTD-2170G1.2,0
CTD-2244C20.2,0
KIF2A,404
DIMT1,253
IPO11,108
LRRC70,0
HTR1A,0
RNF180,656
RGS7BP,303
FAM159B,0
SREK1IP1,353
CWC27,442
RP11-307L14.1,2
RP11-307L14.2,4
ADAMTS6,113
CTD-2116N20.1,0
CENPK,15
PPWD1,180
TRIM23,155
TRAPPC13,94
CTC-534A2.2,8
SGTB,96
NLN,21
CTD-2033C11.1,6
ERBB2IP,499
SREK1,478
AC025442.3,0
CTD-2016O11.1,0
RP11-305P14.1,0
RP11-5P22.3,0
MAST4,436
MAST4-AS1,7
CD180,0
CTD-2187J20.1,0
RP11-434D9.1,1
RP11-83M16.5,0
RP11-83M16.6,0
RP11-434D9.2,0
RP11-404L6.2,0
PIK3R1,705
CTD-2582M21.1,0
CTC-537E7.3,1
CTC-537E7.1,0
CTC-537E7.2,0
CTC-340D7.1,1
RP11-141O11.1,0
RP11-141O11.2,1
CTC-498J12.1,0
SLC30A5,138
CTC-498J12.3,4
CCNB1,28
CENPH,25
MRPS36,433
CDK7,73
CCDC125,68
AK6,162
TAF9,142
RAD17,131
MARVELD2,2
RP11-241G9.3,0
OCLN,9
GTF2H2C,40
SERF1B,2
SMN2,11
RP11-497H16.9,9
SERF1A,10
SMN1,19
NAIP,51
GTF2H2,85
RP11-136K7.2,9
RP11-136K7.3,0
RP11-136K7.1,0
BDP1,608
MCCC2,184
CARTPT,0
MAP1B,4933
MRPS27,197
PTCD2,48
ZNF366,7
CTC-347C20.2,0
CTC-347C20.1,1
CTD-2631K10.1,9
TNPO1,496
CTD-2376I4.1,0
CTD-2376I4.2,1
FCHO2,428
TMEM171,1
RP11-232L2.2,0
TMEM174,0
RP11-60A8.1,3
RP11-60A8.2,0
FOXD1,142
FOXD1-AS1,0
LINC01385,0
LINC01386,0
RP11-79P5.9,11
BTF3,4011
ANKRA2,189
UTP15,28
ARHGEF28,103
CTC-575I10.1,1
RP11-428C6.2,0
CTD-2292M14.1,0
LINC01335,0
CTD-2275D24.1,0
LINC01333,0
LINC01332,0
LINC01331,0
ENC1,58
HEXB,161
GFM2,73
NSA2,1096
FAM169A,9
CTD-2377O17.1,0
CTD-2503O16.4,4
GCNT4,17
LINC01336,3
ANKRD31,13
CTD-2235C13.2,5
HMGCR,92
CTD-2235C13.3,0
COL4A3BP,507
POLK,421
CTC-366B18.2,2
CTC-366B18.4,6
ANKDD1B,17
POC5,51
CTC-235G5.3,0
SV2C,16
AC113404.1,1
RP11-466P24.6,0
IQGAP2,21
CTD-2236F14.1,1
F2RL2,1
CTD-2384B11.2,0
F2R,37
F2RL1,0
S100Z,0
CRHBP,0
AGGF1,219
ZBED3,259
CTC-564N23.2,0
ZBED3-AS1,228
PDE8B,500
WDR41,346
OTP,0
TBCA,1286
RP11-107N7.1,0
AP3B1,504
SCAMP1-AS1,29
SCAMP1,282
LHFPL2,136
ARSB,102
DMGDH,10
BHMT2,33
BHMT,2
JMY,216
HOMER1,663
PAPD4,419
CMYA5,24
CTC-431G16.2,0
LINC01455,0
MTX3,67
THBS4,36
CTD-2201I18.1,0
SERINC5,365
CTC-458I2.2,8
SPZ1,0
ZFYVE16,546
CTD-2015H6.3,3
FAM151B,13
ANKRD34B,0
LINC01337,0
DHFR,67
CTC-325J23.2,0
MSH3,205
RASGRF2-AS1,1
RASGRF2,16
CTD-2193P3.2,0
CKMT2-AS1,123
CKMT2,343
ZCCHC9,126
ACOT12,12
SSBP2,2186
CTD-2249K22.1,0
ATG10,222
ATG10-AS1,0
RPS23,13463
ATP6AP1L,44
CTD-2015A6.1,0
CTD-2015A6.2,0
CTD-2218K11.2,0
LINC01338,0
RP11-78C3.1,0
CTD-2227C6.3,0
CTD-2227C6.2,0
RP11-343L5.2,1
TMEM167A,198
XRCC4,129
VCAN,51
VCAN-AS1,0
HAPLN1,0
EDIL3,1135
CTD-2269F5.1,258
CTC-384G19.1,0
RP11-1072N2.3,0
CTD-2331D11.2,0
CTD-2331D11.3,0
CTD-2331D11.4,0
CTC-480C2.1,0
CTD-2036A18.2,0
CTC-261N6.3,0
CTC-261N6.1,0
CTC-261N6.2,0
COX7C,2922
CTC-493L21.1,0
CTC-493L21.2,0
RP11-72L22.1,0
CTC-242N15.1,1
RASA1,617
CTC-428H11.2,18
CCNH,768
CTD-2316B1.1,0
CTD-2316B1.2,0
TMEM161B,111
TMEM161B-AS1,310
CTC-498M16.2,0
CTC-498M16.4,0
LINC00461,0
CTC-467M3.1,5
CTC-467M3.3,0
CTC-467M3.2,0
MEF2C,2602
MEF2C-AS1,725
CTD-2232E5.2,0
RP11-116A1.1,0
AC113167.1,21
AC113167.2,4
RP11-61G23.2,0
CETN3,100
MBLAC2,26
POLR3G,19
LYSMD3,124
ADGRV1,7
RP11-414H23.2,0
RP11-414H23.3,0
RP11-213H15.1,2
LUCAT1,6
RP11-213H15.4,0
CTD-2061E19.6,0
ARRDC3,354
ARRDC3-AS1,42
RP11-348J24.2,0
RP11-348J24.1,0
RP11-133F8.2,1
CTC-529L17.1,0
CTC-529L17.2,0
CTC-458G6.4,0
CTC-458G6.2,0
CTD-2091N23.1,0
NR2F1-AS1,12
NR2F1,4
FAM172A,932
POU5F2,7
RP11-185E12.2,0
KIAA0825,208
SLF1,87
MCTP1,18
CTC-484P3.3,0
CTC-558O19.1,0
FAM81B,1
TTC37,547
ARSK,115
GPR150,3
RFESD,13
SPATA9,6
CTD-2154I11.2,8
RHOBTB3,538
GLRX,234
AC008592.4,2
AC008592.8,0
LINC01554,6
ELL2,2664
CTD-2337A12.1,334
AC008592.7,4
RP11-254I22.1,0
RP11-254I22.3,1
RP11-254I22.2,1
PCSK1,11
CAST,2510
CTC-506B8.1,0
ERAP1,122
CTD-2260A17.1,6
CTD-2260A17.3,2
CTD-2260A17.2,32
ERAP2,58
LNPEP,336
CTD-2215E18.1,45
LIX1,1
RIOK2,145
CTD-2215E18.2,5
CTD-2215E18.3,0
LINC01340,4
RP11-455B3.1,0
AC008834.1,0
RGMB,58
RGMB-AS1,3
AC008522.1,9
CHD1,1090
CTD-2007H13.3,106
CTD-2151A2.1,0
RP11-346J10.1,2
CTD-2001C12.1,6
FAM174A,111
CTC-293G12.1,0
ST8SIA4,5
CTD-2333K2.1,0
SLCO4C1,0
SLCO6A1,0
RP11-58B2.1,0
LINC00492,0
CTD-2340E1.2,0
LINC00491,0
PAM,1164
GIN1,68
PPIP5K2,392
CTC-503K11.2,0
C5orf30,13
CTD-2154H6.1,0
CTD-2193G5.1,2
NUDT12,42
RP11-138J23.1,0
RP11-6N13.1,2
RP11-6N13.4,0
CTD-2374C24.1,0
CTC-254B4.1,1
EFNA5,10
RP11-252I13.2,0
FBXL17,986
LINC01023,22
FER,1105
CTD-2197I11.1,4
CTD-2587M2.1,29
PJA2,1202
RP11-231G15.2,0
RP11-231G15.3,0
RP11-231G15.1,0
CTC-332L22.1,2
MAN2A1,360
AC011366.3,0
TMEM232,55
SLC25A46,140
CTC-551A13.1,0
TSLP,1
CTC-551A13.2,0
WDR36,130
CAMK4,9
AC010468.2,0
CTC-499J9.1,0
STARD4,240
STARD4-AS1,49
NREP,156
NREP-AS1,3
EPB41L4A,190
EPB41L4A-AS1,375
CTC-459M5.1,2
CTC-459M5.2,3
RP11-526F3.1,3
EPB41L4A-AS2,2
RP11-159K7.2,0
APC,696
CTC-554D6.1,16
CTC-487M23.8,15
SRP19,133
REEP5,777
ZRSR1,1
CTC-487M23.5,3
CTC-487M23.7,0
DCP2,211
MCC,207
CTD-2201G3.1,0
TSSK1B,0
YTHDC2,290
RP11-371M22.1,0
KCNN2,0
RP11-492A10.1,0
CTC-313D10.1,0
RP11-438C19.2,0
RP11-438C19.1,0
TRIM36,92
CTC-428G20.2,0
PGGT1B,170
CTC-428G20.6,1
CCDC112,186
FEM1C,125
TMED7-TICAM2,36
TICAM2,6
AC010226.4,29
TMED7,240
CTC-505O3.3,3
CTC-505O3.2,0
CDO1,64
ATG12,220
AP3S1,451
AC026449.1,0
LVRN,1
CTD-2287O16.3,0
ARL14EPL,0
CTD-2287O16.4,0
CTD-2287O16.5,9
COMMD10,678
CTC-339F2.2,12
SEMA6A,260
SEMA6A-AS1,56
CTB-118N6.2,7
RP11-249M12.2,0
CTC-472C24.1,0
RP11-492L8.2,0
LINC00992,0
CTD-3179P9.1,27
HNCAT21,0
CTD-2281M20.1,3
RP11-2N5.2,0
RP11-2N5.1,0
CTC-448D22.1,0
DTWD2,83
CTB-161M19.4,27
DMXL1,544
TNFAIP8,277
HSD17B4,419
FAM170A,0
CTC-552D5.1,4
RP11-574H6.1,0
PRR16,503
CTD-2334D19.1,5
CTC-546K23.1,0
FTMT,0
SRFBP1,240
LOX,9
CTC-441N14.2,2
ZNF474,1
CTC-441N14.1,0
CTD-2544H17.2,2
SNCAIP,105
CTD-2544H17.1,3
CTD-2280E9.1,5
MGC32805,12
RP11-166A12.1,1
SNX2,388
SNX24,133
PPIC,244
RP11-359P5.1,2
AC106786.1,0
PRDM6,12
CEP120,132
CSNK1G3,222
LINC01170,0
CTC-369A16.2,0
CTD-2308B18.4,0
CTD-2308B18.1,0
CTD-2308B18.2,0
CTD-2308B18.3,0
ZNF608,46
RP11-43D2.2,2
RP11-284A20.3,0
RP11-284A20.2,0
RP11-284A20.1,0
RP11-257I8.2,0
RP11-508M8.1,0
RP11-395P13.7,0
RP11-395P13.4,0
RP11-756H20.1,0
RP11-114J13.1,0
CTC-339D2.1,0
GRAMD3,392
RP11-517I3.1,39
ALDH7A1,217
PHAX,273
TEX43,1
RP11-434D11.4,18
LMNB1,35
MARCH3,296
C5orf63,12
MEGF10,1
CTD-2195M15.3,0
PRRC1,113
CTD-2195M15.4,0
CTXN3,0
CTC-548H10.2,0
LINC01183,94
CTC-228N24.2,2
LINC01184,401
SLC12A2,690
FBN2,3
SLC27A6,5
ISOC1,42
ADAMTS19-AS1,0
ADAMTS19,14
CTC-575N7.1,78
KIAA1024L,1
CHSY3,1474
HINT1,1717
LYRM7,141
CDC42SE2,191
RAPGEF6,25
CTC-432M15.3,2
FNIP1,183
MEIKIN,0
CTB-127M13.1,0
AC034228.4,0
ACSL6,20
AC034228.3,0
AC034228.2,0
IL3,0
CSF2,0
AC063976.3,0
P4HA2-AS1,10
P4HA2,103
PDLIM4,212
SLC22A4,32
SLC22A5,51
C5orf56,172
AC116366.5,0
AC116366.6,28
IRF1,1046
RP11-89G4.1,1
IL5,3
RAD50,524
TH2LCRR,19
IL13,0
IL4,0
AC004237.1,23
KIF3A,193
CCNI2,2
SEPT8,174
SOWAHA,1
AC004775.5,0
SHROOM1,14
GDF9,5
UQCRQ,980
LEAP2,19
AFF4,1407
CTC-350I8.1,1
ZCCHC10,217
HSPA4,443
RP11-485M7.3,1
CTB-49A3.2,1
FSTL4,89
CTB-49A3.5,0
CTB-49A3.4,0
CTB-3M24.3,1
WSPAR,0
C5orf15,130
VDAC1,488
CTB-113I20.2,28
TCF7,66
SKP1,3201
CTD-2410N18.5,18
PPP2CA,184
CTD-2410N18.3,1
CDKL3,149
UBE2B,818
RP11-215P8.3,12
CDKN2AIPNL,106
RP11-215P8.4,0
AC005355.1,5
AC005355.2,0
JADE2,109
SAR1B,219
SEC24A,76
CAMLG,569
DDX46,723
C5orf24,503
TXNDC15,267
PCBD2,92
CATSPER3,0
PITX1,31
C5orf66,29
CTC-276P9.4,0
C5orf66-AS1,0
CTC-276P9.2,0
CTC-276P9.3,0
C5orf66-AS2,0
H2AFY,395
CTC-203F4.2,1
DCANP1,0
TIFAB,0
CTB-138E5.1,0
NEUROG1,0
CTC-321K16.1,0
CXCL14,31
CTC-321K16.4,0
RP11-119J18.1,0
SLC25A48,0
IL9,0
GS1-39E22.2,0
GS1-39E22.1,0
LECT2,0
TGFBI,1446
SMAD5-AS1,7
SMAD5,525
AC009014.3,0
TRPC7,1
TRPC7-AS1,0
TRPC7-AS2,0
AC063980.3,0
RP11-114H21.2,1
CTB-1I21.1,0
SPOCK1,24
KLHL3,35
HNRNPA0,671
RP11-381K20.4,0
RP11-381K20.2,19
MYOT,3
PKD2L2,56
FAM13B,667
RP11-325L7.1,0
RP11-325L7.2,0
WNT8A,0
NME5,31
BRD8,205
KIF20A,3
CDC23,80
GFRA3,1
CDC25C,7
FAM53C,255
RP11-256P1.1,0
KDM3B,300
REEP2,20
EGR1,4764
ETF1,280
HSPA9,690
CTNNA1,1141
AC034243.1,4
LRRTM2,0
SIL1,316
CTB-46B19.2,24
MATR3,20
MATR3-1,60
PAIP2,801
CTB-43P18.1,0
SLC23A1,1
MZB1,3
PROB1,16
SPATA24,32
DNAJC18,174
ECSCR,0
ECSCR-1,11
TMEM173,283
UBE2D2,756
CTD-3224K15.3,0
CXXC5,278
CTD-3224K15.2,0
CTB-35F21.1,5
CTB-35F21.2,1
CTB-35F21.3,0
CTB-35F21.5,0
PSD2,0
NRG2,52
CTB-35F21.4,0
LINC01024,8
PURA,687
IGIP,70
CYSTM1,1123
PFDN1,377
AC011380.1,6
HBEGF,75
CTC-329D1.3,1
SLC4A9,2
CTC-329D1.2,37
ANKHD1,37
ANKHD1-EIF4EBP3,25
SRA1,195
EIF4EBP3,0
APBB3,32
SLC35A4,74
CD14,32
NDUFA2,618
TMCO6,20
IK,790
WDR55,47
DND1,1
HARS,169
HARS2,31
ZMAT2,381
PCDHA1,0
AC005609.16,1
PCDHA2,0
PCDHA3,4
PCDHA4,2
PCDHA5,2
PCDHA6,0
PCDHA7,1
PCDHA8,0
PCDHA9,1
AC005609.19,0
PCDHA10,19
AC005609.20,0
PCDHA11,0
PCDHA12,2
AC005609.18,0
AC005609.17,0
PCDHA13,0
PCDHAC1,0
CTC-270D5.2,0
PCDHAC2,0
CTC-270D5.1,2
PCDHB1,0
CH17-140K24.1,0
PCDHB2,15
AC005754.7,3
PCDHB3,12
AC005754.8,7
PCDHB4,75
PCDHB5,15
CH17-140K24.2,19
PCDHB6,8
CH17-140K24.3,0
PCDHB7,12
PCDHB8,0
PCDHB16,43
CH17-140K24.5,0
PCDHB10,18
CH17-140K24.7,0
PCDHB9,20
CH17-140K24.6,0
PCDHB11,12
PCDHB12,10
PCDHB13,6
PCDHB14,22
CH17-140K24.8,21
PCDHB15,12
TAF7,806
SLC25A2,0
AC005618.6,12
PCDHGA1,14
PCDHGA2,6
PCDHGA3,4
PCDHGB1,0
AC005618.8,0
PCDHGA4,8
PCDHGB2,5
PCDHGA5,30
PCDHGB3,1
PCDHGA6,27
PCDHGA7,8
PCDHGB4,1
PCDHGA8,7
PCDHGB5,4
PCDHGA9,5
PCDHGB6,16
PCDHGA10,22
PCDHGB7,22
PCDHGA11,1
AC005618.9,0
PCDHGA12,11
PCDHGC3,16
PCDHGC4,0
PCDHGC5,0
DIAPH1,215
CTD-2024I7.13,5
AC008781.7,3
HDAC3,168
RELL2,1
FCHSD1,21
ARAP3,40
PCDH1,114
KIAA0141,111
PCDH12,7
AC005740.6,0
RNF14,143
AC005740.5,1
GNPDA1,138
NDFIP1,825
SPRY4,61
SPRY4-IT1,11
AC005592.2,21
FGF1,52
AC005592.3,0
AC005592.1,4
ARHGAP26,779
ARHGAP26-AS1,46
NR3C1,1347
CTD-2050E21.1,1
CTD-2050E21.2,0
HMHB1,0
YIPF5,195
KCTD16,302
CTC-367F4.1,1
CTC-806A22.1,60
CTB-73N10.1,6
PRELID2,530
GRXCR2,0
SH3RF2,23
PLAC8L1,17
RP11-118M9.3,22
LARS,469
RP11-449H3.3,28
RBM27,75
CTC-359M8.1,0
POU4F3,0
CTB-1H10.1,0
TCERG1,365
GPR151,0
CTB-99A3.1,2
PPP2R2B,474
CTC-255N20.1,0
STK32A,6
DPYSL3,338
CTB-108O6.2,0
JAKMIP2-AS1,1
JAKMIP2,0
SPINK1,0
SCGB3A2,0
C5orf46,2
CTC-327F10.5,0
CTC-327F10.4,0
SPINK5,0
SPINK14,0
SPINK6,0
CTC-295J13.3,0
SPINK13,0
RP11-373N22.3,54
SPINK7,0
SPINK9,0
FBXO38,103
CTD-2283N19.1,3
HTR4,4
ADRB2,7
SH3TC2,0
RP11-44B19.1,0
CTC-529P8.1,0
ABLIM3,14
RP11-331K21.1,2
AC012613.2,0
AFAP1L1,15
GRPEL2,12
GRPEL2-AS1,0
PCYOX1L,11
IL17B,74
RP11-394O4.3,1
CARMN,1028
RP11-394O4.6,16
RP11-394O4.5,391
CSNK1A1,1631
ARHGEF37,38
PPARGC1B,91
PDE6A,0
SLC26A2,83
TIGD6,15
HMGXB3,153
CSF1R,131
PDGFRB,1501
CDX1,2
SLC6A7,1
CAMK2A,20
ARSI,3
TCOF1,97
CD74,199
RPS14,15055
CTC-367J11.1,13
NDST1,116
SYNPO,222
CTB-140J7.2,3
MYOZ3,8
CTC-345K18.2,0
RBM22,221
DCTN4,241
SMIM3,384
IRGM,6
ZNF300,18
AC008641.1,0
GPX3,827
TNIP1,151
ANXA6,809
CTB-17P3.4,0
CCDC69,103
GM2A,39
SLC36A3,1
SLC36A2,5
SLC36A1,40
FAT2,0
CTC-251D13.1,1
CTB-113P19.4,2
SPARC,1885
CTB-113P19.1,26
CTB-113P19.5,7
ATOX1,563
CTB-113P19.3,0
RP11-54C4.3,0
G3BP1,471
GLRA1,10
CTB-12O2.1,6
NMUR2,0
LINC01470,6
GRIA1,7
AC091962.3,0
RP11-461L18.1,0
FAM114A2,100
MFAP3,61
GALNT10,41
SAP30L-AS1,24
SAP30L,118
HAND1,0
CTB-158E9.1,0
LARP1,291
FAXDC2,151
CNOT8,150
GEMIN5,71
MRPL22,247
KIF4B,0
SGCD,485
AC016577.1,0
CTC-340I23.2,1
TIMD4,0
HAVCR1,0
HAVCR2,51
CTB-120L21.1,0
MED7,84
ITK,8
FAM71B,0
CTB-4E7.1,0
CTC-248O19.1,3
CYFIP2,63
FNDC9,0
CTB-47B11.3,0
ADAM19,77
NIPAL4,0
AC106801.1,0
SOX30,0
C5orf52,0
AC008694.3,0
THG1L,56
LSM11,13
CLINT1,325
CTC-436K13.5,1
CTC-436K13.1,3
CTC-436K13.6,0
CTC-436K13.3,0
CTC-436K13.2,1
RP11-524N5.1,10
RP11-542A14.1,2
RP11-542A14.2,0
RP11-32D16.1,1
EBF1,4558
CTD-2363C16.1,28
CTD-2363C16.2,0
RP11-175K6.1,308
RNF145,214
CTB-11I22.1,2
CTB-11I22.2,0
UBLCP1,180
AC008697.1,0
IL12B,0
AC008703.1,0
AC008691.1,0
AC011343.1,0
ADRA1B,5
TTC1,357
PWWP2A,327
FABP6,2
CTB-127C13.1,0
CCNJL,39
C1QTNF2,205
ZBED8,23
SLU7,286
PTTG1,36
MIR3142HG,1
ATP10B,0
CTC-348L5.1,0
CTC-529G1.1,0
RP11-109J4.1,0
GABRB2,41
GABRA6,0
RP11-348M17.2,0
GABRA1,0
LINC01202,0
GABRG2,0
RP11-96G10.1,0
RP11-167P20.1,0
RP11-541P9.3,4
CCNG1,208
NUDCD2,209
HMMR,14
HMMR-AS1,0
MAT2B,98
CTC-207P7.1,0
CTB-32P11.1,0
CTC-340A15.2,418
CTD-2313P7.1,6
CTB-181F24.1,0
CTC-535M15.2,232
RP11-67M9.1,8
CTB-7E3.1,2
CTC-264O10.2,0
CTC-264O10.1,0
TENM2,147
CTB-180C19.1,0
CTC-286N12.1,0
CTB-105L4.2,0
CTB-78F1.1,2
CTC-353G13.1,0
CTB-77H17.1,0
CTB-178M22.1,1
CTB-178M22.2,0
WWC1,1
RARS,182
FBLL1,2
PANK3,139
CTC-558O2.2,1
SLIT3,2837
CTC-558O2.1,12
CTB-174D11.2,7
CTB-174D11.1,29
SPDL1,42
DOCK2,4
CTB-37A13.1,0
FAM196B,1
FOXI1,0
LINC01187,0
LCP2,19
CTB-114C7.4,0
LINC01366,0
KCNIP1,7
KCNMB1,411
CTD-2270F17.1,2
CTB-147C13.1,0
CTC-265N9.1,0
CTC-455F18.1,0
GABRP,0
RANBP17,170
RP11-546B8.6,0
TLX3,0
NPM1,2819
FGF18,32
CTB-78H18.1,0
SMIM23,0
FBXW11,497
STK10,46
EFCAB9,3
UBTD2,287
SH3PXD2B,467
CTB-54I1.1,0
NEURL1B,598
CTB-79E8.2,0
RP11-779O18.1,7
RP11-779O18.3,359
DUSP1,1361
RP11-536N17.1,0
ERGIC1,254
CTC-308K20.1,1
CTC-308K20.2,3
RPL26L1,176
ATP6V0E1,940
CREBRF,660
CTC-209H22.3,0
BNIP1,24
NKX2-5,0
STC2,14
CTB-32H22.1,1
CTB-164N12.1,0
CTB-33O18.1,0
CTB-33O18.2,0
CTB-33O18.3,0
BOD1,204
CTB-43E15.1,0
CTB-43E15.2,0
LINC01484,0
LINC01485,0
CPEB4,466
C5orf47,2
HMP19,0
RP11-619L12.3,0
RP11-619L12.4,0
CTC-430J12.2,0
LINC01411,0
RP11-267A15.3,0
MSX2,14
CTD-2532K18.1,0
CTD-2532K18.2,0
CTC-281M20.1,4
CTC-281M20.4,0
DRD1,27
SFXN1,191
HRH2,186
CPLX2,0
THOC3,73
RP11-91H12.3,0
RP11-826N14.1,0
RP11-826N14.2,1
FAM153B,954
RP11-844P9.1,3
RP11-826N14.4,10
RP11-844P9.2,57
SIMC1,653
KIAA1191,187
RP11-843P14.2,12
RP11-843P14.1,9
ARL10,69
NOP16,52
HIGD2A,580
CLTB,728
FAF2,239
RNF44,47
CDHR2,1
GPRIN1,0
SNCB,0
EIF4E1B,0
TSPAN17,23
RP11-375B1.1,0
RP11-375B1.2,0
LINC01574,0
UNC5A,1
HK3,2
UIMC1,246
ZNF346,85
FGFR4,0
NSD1,407
RAB24,16
MXD3,17
PRELID1,520
LMAN2,344
RGS14,18
SLC34A1,0
PFN3,0
F12,1
GRK6,34
PRR7-AS1,2
PRR7,5
DBN1,89
PDLIM7,845
RP11-1334A24.6,0
DOK3,4
DDX41,62
FAM193B,121
RP11-1277A3.3,4
TMED9,399
B4GALT7,75
RP11-1277A3.1,15
RP11-1101H11.1,3
FAM153A,139
RP11-1026M7.2,4
RP11-1026M7.3,0
RP11-423H2.5,0
RP11-1252I4.2,3
RP11-423H2.3,1
RP11-423H2.4,1
PROP1,0
FAM153C,69
N4BP3,0
RMND5B,117
NHP2,517
HNRNPAB,643
PHYKPL,291
COL23A1,87
RP11-1259L22.1,0
CLK4,175
ZNF354A,60
ZNF354B,41
ZFP2,26
RP11-281O15.8,0
ZNF454,17
RP11-281O15.4,4
GRM6,0
ZNF879,8
ZNF354C,53
ADAMTS2,120
RP11-443C10.2,0
RP11-443C10.1,0
RP11-798K23.1,0
RP11-798K23.4,0
RUFY1,196
RP11-1379J22.2,28
HNRNPH1,841
RP11-1379J22.5,1
CBY3,1
CANX,702
MAML1,157
LTC4S,4
MGAT4B,51
SQSTM1,2367
C5orf45,197
CTC-241N9.1,12
TBC1D9B,97
RNF130,621
CTC-563A5.2,0
RASGEF1C,0
MAPK9,117
CTB-129O4.1,1
GFPT2,297
CTC-573N18.1,0
CNOT6,141
SCGB3A1,1
FLT4,3
RP11-451H23.3,0
OR2Y1,0
MGAT1,180
LINC00847,27
ZFP62,45
BTNL8,0
BTNL3,0
BTNL9,1
OR2V1,0
OR2V2,0
CTC-338M12.2,0
CTC-338M12.5,58
TRIM7,39
CTC-338M12.6,1
CTC-338M12.1,0
TRIM41,37
CTC-338M12.7,0
GNB2L1,5891
TRIM52,102
CTC-338M12.9,0
AC138035.2,1
AC138035.1,0
OR4F3,0
LINC00266-3,1
RP3-416J7.4,0
RP3-416J7.5,0
DUSP22,115
IRF4,5
EXOC2,743
RP1-20B11.2,0
HUS1B,8
RP11-532F6.3,51
RP11-532F6.4,20
RP11-532F6.5,18
RP11-284J1.1,0
RP5-1077H22.2,0
RP5-1077H22.1,0
RP5-856G1.1,0
RP5-856G1.2,1
FOXQ1,7
LINC01394,2
RP4-668J24.2,1
FOXF2,156
RP11-157J24.2,2
FOXCUT,0
FOXC1,358
GMDS,648
GMDS-AS1,1012
RP1-136B1.1,0
LINC01600,16
RP11-145H9.3,1
MYLK4,10
WRNIP1,140
SERPINB1,384
SERPINB9P1,2
SERPINB9,174
RP1-90J20.2,0
SERPINB6,713
LINC01011,13
NQO2,306
RP1-90J20.8,0
RP1-40E16.2,0
RIPK1,974
RP1-40E16.12,22
BPHL,64
RP1-40E16.11,4
TUBB2A,206
RP1-40E16.9,0
TUBB2B,17
PSMG4,162
SLC22A23,14
RP11-506K6.4,0
RP1-223B1.1,3
PXDC1,236
RP11-420L9.5,18
FAM50B,83
RP1-140K8.1,0
RP1-140K8.5,0
RP3-406P24.4,0
RP3-406P24.3,1
PRPF4B,742
FAM217A,15
C6orf201,2
ECI2,291
RP3-400B16.4,0
RP3-400B16.1,0
RP3-400B16.3,0
RP3-527G5.1,0
RP11-274H24.1,1
RP4-529N6.2,0
RP4-529N6.1,0
CDYL,313
RP3-430A16.1,0
RPP40,13
RP11-428J1.5,14
RP11-428J1.4,6
PPP1R3G,38
LYRM4,176
FARS2,336
RP1-232P20.1,1
RP1-256G22.2,11
RP3-380B8.4,7
NRN1,11
F13A1,52
LY86-AS1,1
LY86,1
RP1-80N2.3,0
RP1-80N2.2,1
RP3-470L22.1,0
RP3-429O6.1,0
RP11-556O15.1,0
RREB1,178
SSR1,284
RP11-69L16.4,5
CAGE1,0
RIOK1,124
RP3-512B11.3,1
DSP,8
SNRNP48,122
BMP6,2
TXNDC5,10
BLOC1S5-TXNDC5,27
BLOC1S5,82
EEF1E1-BLOC1S5,0
BLOC1S5-1,0
EEF1E1,142
RP11-203H2.1,0
RP11-203H2.2,0
SLC35B3,76
HULC,1
RP11-314C16.1,2
RP11-354I10.1,0
OFCC1,5
TFAP2A,26
TFAP2A-AS1,10
RP1-290I10.3,1
LINC00518,0
MIR5689HG,0
RP1-290I10.5,0
GCNT2,38
RP11-360O19.4,0
C6orf52,4
PAK1IP1,116
TMEM14C,1085
